REL_NUM_COMP_ALUNOS;ID_MOD_ATIV_COMPLEMENTAR;IDADE_MESES;TP_SEXO;TP_COR_RACA_PRETA;ID_ZONA_RESIDENCIAL;ID_N_T_E_P;EVADIU;filter_$
60;0;195;1;0;1;1;0;0
548;0;185;0;0;0;1;0;0
41;1;199;0;0;1;1;0;0
41;1;175;0;0;1;1;0;0
41;1;216;1;0;0;1;0;0
24;0;217;0;0;0;0;0;0
24;0;184;1;0;0;0;0;0
24;0;169;1;0;0;0;0;1
24;0;183;0;0;1;1;0;0
26;0;192;1;0;0;0;0;0
26;0;188;0;0;1;1;0;0
12;0;175;0;0;0;0;0;0
12;0;205;0;0;0;0;0;0
12;0;217;1;0;0;0;0;0
12;0;189;0;0;0;0;0;1
26;0;186;0;0;0;0;0;0
26;0;188;1;0;0;0;0;1
91;0;180;0;0;0;0;0;0
91;0;191;0;0;1;1;0;0
91;0;186;0;1;1;1;0;1
91;0;197;0;0;0;1;0;0
91;0;194;1;0;0;0;0;0
143;0;199;0;0;0;0;0;0
218;0;181;0;0;0;1;1;0
60;0;198;1;0;0;1;0;0
60;0;210;1;0;1;1;0;0
60;0;203;0;0;1;1;1;1
1250;0;184;0;0;0;0;0;0
1250;0;190;1;0;1;1;0;0
1250;0;182;1;0;0;0;0;0
1250;0;191;1;0;0;0;0;0
50;0;192;0;0;0;0;0;0
50;0;180;0;0;1;1;0;1
50;0;182;1;0;0;0;0;0
50;0;206;1;0;1;1;0;0
50;0;191;1;0;1;1;1;0
50;0;230;1;0;1;1;0;0
50;0;180;0;0;0;0;0;0
50;0;186;1;0;0;0;0;1
1250;0;246;0;0;0;1;0;0
1250;0;199;0;0;0;1;0;1
1250;0;258;0;0;0;1;0;0
143;0;181;1;0;1;1;0;0
143;0;186;0;0;1;1;0;0
328;0;178;1;0;1;1;0;0
328;0;200;1;1;1;1;1;0
328;0;215;1;0;0;0;0;0
60;0;195;0;0;1;1;0;0
19;0;186;0;0;1;1;0;0
60;0;196;0;0;1;1;0;0
60;0;182;0;0;1;1;0;1
19;0;196;0;0;1;1;0;0
19;0;224;1;0;1;1;0;1
19;0;193;0;0;1;1;0;0
19;0;179;0;0;1;1;0;1
19;0;236;1;0;1;1;0;0
19;0;182;0;0;1;1;0;0
30;0;181;1;0;0;0;0;0
30;0;207;0;0;0;0;0;0
30;0;235;0;0;1;1;1;0
30;0;233;0;0;0;1;0;0
30;0;176;0;0;0;0;0;0
30;0;201;1;0;1;1;0;1
27;1;186;1;0;0;0;0;0
27;1;199;1;0;0;0;0;0
27;1;195;1;0;0;0;0;0
406;0;202;0;0;1;1;0;0
406;0;183;0;0;0;0;0;0
406;0;179;0;0;1;1;0;0
406;0;184;1;0;1;1;1;0
406;0;191;1;0;0;0;0;0
406;0;191;1;0;1;1;0;0
26;0;176;1;0;0;0;0;0
50;0;176;0;0;0;0;0;0
50;0;202;1;0;0;0;0;0
143;0;184;0;0;1;1;0;0
328;0;199;0;0;1;1;0;0
328;0;178;0;0;1;1;0;0
64;1;176;0;0;1;1;0;1
64;1;182;1;0;1;1;1;0
